ad_id,campaign_name,placement,spend,impressions,clicks,installs,signups,trials,adj_trials,trial_converts,init_purch,adj_init_purch,v3s,thruplays
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,3193.75,513444,5948,183,114,63,105.87,1,5,0.0,68239,75
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,1520.24,250650,10502,49,29,20,33.42,3,9,0.0,12178,5
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,17.7,9838,125,0,0,0,0.0,0,0,0.0,171,1
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,17.61,7489,41,0,0,0,0.0,0,0,0.0,1254,1
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,4.35,1323,9,1,0,0,0.0,0,0,0.0,235,0
120245092958860167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,unknown,0.03,9,0,0,0,0,0.0,0,0,0.0,1,0
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,0.02,4,1,0,0,0,0.0,0,0,0.0,0,0
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,0.02,5,0,0,0,0,0.0,0,0,0.0,0,0
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,0.2,48,3,0,0,0,0.0,0,0,0.0,4,1
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_explore_grid_home,0.0,1,0,0,0,0,0.0,0,0,0.0,1,0
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,0.03,17,0,0,0,0,0.0,0,0,0.0,0,0
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,0.03,20,0,0,0,0,0.0,0,0,0.0,0,0
120245149598320167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.01,2,0,0,0,0,0.0,0,0,0.0,0,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,0.02,2,0,0,0,0,0.0,0,0,0.0,0,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_profile_feed,0.11,39,0,0,0,0,0.0,0,0,0.0,8,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,1.05,319,6,0,0,0,0.0,0,0,0.0,51,4
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,0.0,2,0,0,0,0,0.0,0,0,0.0,0,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,0.28,36,1,0,0,0,0.0,0,0,0.0,6,1
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,3.22,488,7,0,0,0,0.0,0,0,0.0,76,3
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,0.2,19,0,0,0,0,0.0,0,0,0.0,4,1
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,0.09,16,0,0,0,0,0.0,0,0,0.0,2,1
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,0.53,69,3,0,0,0,0.0,0,0,0.0,40,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,0.03,12,0,0,0,0,0.0,0,0,0.0,3,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.04,12,1,0,0,0,0.0,0,0,0.0,0,0
120245149824260167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,threads_feed,1.37,1071,0,0,0,0,0.0,0,0,0.0,85,3
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,2.68,203,34,0,0,0,0.0,0,0,0.0,157,14
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,2.41,290,7,0,0,0,0.0,0,0,0.0,0,0
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,206.43,54341,2086,32,16,5,8.09,0,4,0.0,20780,619
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,1.49,904,8,0,0,0,0.0,0,0,0.0,0,0
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,25.25,3083,36,1,1,2,3.15,0,2,0.0,715,17
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,109.24,12713,268,15,10,6,9.55,0,3,0.0,5451,302
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,217.63,32348,998,16,10,6,9.5,0,0,0.0,10246,436
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,153.33,27954,889,14,5,5,8.23,0,2,0.0,3048,162
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,2.9,491,8,0,0,0,0.0,0,0,0.0,241,3
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,0.48,185,0,0,0,0,0.0,0,0,0.0,17,0
120245417330630167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.14,62,1,0,0,0,0.0,0,0,0.0,13,0
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,0.25,17,3,0,0,0,0.0,0,0,0.0,10,1
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,0.06,17,0,0,0,0,0.0,0,0,0.0,0,0
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,80.7,15399,225,9,7,3,4.84,0,0,0.0,3683,80
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,1.45,740,0,0,0,0,0.0,0,0,0.0,0,0
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,4.04,574,4,0,0,0,0.0,0,0,0.0,177,19
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,46.63,7098,147,4,0,1,1.57,0,1,0.0,2200,60
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,119.61,17840,475,15,7,3,4.79,0,0,0.0,4771,86
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_stories,35.15,6410,109,0,0,0,0.0,0,0,0.0,660,34
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,1.46,263,4,0,0,0,0.0,0,0,0.0,123,4
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,marketplace,0.05,20,0,0,0,0,0.0,0,0,0.0,4,0
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,rewarded_video,7.81,576,136,0,0,0,0.0,0,1,0.0,561,155
120245417330640167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,search,0.0,17,0,0,0,0,0.0,0,0,0.0,1,0
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,an_classic,2.3,183,10,0,0,0,0.0,0,0,0.0,156,17
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_notification,0.93,118,3,0,0,0,0.0,0,0,0.0,0,0
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels,113.21,19559,355,9,9,6,9.55,0,2,0.0,4822,223
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_reels_overlay,0.66,399,5,0,0,0,0.0,0,0,0.0,0,0
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,facebook_stories,13.06,1604,24,0,0,0,0.0,0,0,0.0,506,7
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,feed,436.21,56388,805,37,27,10,16.23,0,2,0.0,18988,1080
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instagram_reels,209.93,36646,420,11,3,1,1.58,0,1,0.0,10669,260
120245417330650167,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,instream_video,3.67,370,6,0,0,0,0.0,0,0,0.0,183,6
