af_ad_id,af_ad,campaign,af_installs,af_signups,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,af_trial_cancelled,af_rc_purchase,af_trial_or_purchase,af_top_rev
120249469567010167,c1!UGC_c2!video_c3!ugc_c4!testimonial_c5!promo_c6!Qing_c7!testimonial.BA.hook_c8!2026NYR-v2-PutOffForYears,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,376,268,84,63,13,,6,85,83,7663.0
120249315126190167,c1!na_c2!video_c3!influencer_c4!speakmethod_c5!ongoing_c6!thedodomen_c7!noframe_c8!product-demo_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,383,265,82,72,2,8,16,84,82,7201.0
120246363710880167,c1:na_c2:video_c3:influencer_c4:valueprop_c5:ongoing_c6:harryspeaks__c7:Speak_company_c8:0601,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,314,203,77,63,10,2,21,84,77,6743.0
120247758597150167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!TecherVincent_c7!ValueProp_c8!og-video_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,272,193,72,49,12,,13,86,72,3258.0
120249918145530167,c1!UGC_c2!video_c3!ugc_c4!speakmethod_c5!promo_c6!Sophia_c7!hook.testimonial_c8!OutputInputAndSpeakMethod-v2-cut_c9!scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,254,169,65,47,4,2,8,69,67,4829.0
120250115000200167,c1!UGC_c2!video_c3!ugc_c4!senario_c5!promo_c6!Jenny_c7!hook.realscene.fulleng_c8!InterviewSalaryNegotiation-v1_c9!app-scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,256,194,63,53,6,,11,71,65,5919.0
120248334982400167,c1!UGC_c2!video_c3!ugc_c4!valueprop_c5!ongoing_c6!SWM-Jenny_c7!Scenario_c8!SalaryNegotiation,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,218,178,63,50,5,2,9,69,64,5650.0
120246913718270167,c1!Video_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!Credibility _c8!Andrew-Founded-1920x1080_winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,294,185,62,48,8,,3,74,63,5043.0
120249918291540167,c1!n:a_c2!video_c3!influencer_c4!campaign_c5!promo_c6!illyandlean_c7!26Q3Campaign_c8!outro-promo-long_c9!app-scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,208,134,62,44,10,,9,62,62,5435.0
120246280893240167,c1!Video_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!Credibility _c8!Andrew-Founded-1920x1080,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,226,156,60,42,12,2,13,64,61,4913.0
