ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point
120248822296120167,5251.9800000000005,1005778,20895,409,93,159.63,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!eaglish.fam_c7!product_c8!og-video_scaling,,,,,2026-07-09,2026-08-05,28.0,Scaling,influencer – eaglish.fam – product,na_c2,0.4066503741382293,0.0924657329947563,56.472903225806455,0.020774962268015406,0.0,91.0,35.68,3614.7,787.0,168.0,138.0,12.0,12.0,2.9802514846739254,Phase 1 Winner,True,False
120248898262300167,3.57,2310,12,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!valueprop_c8!billboard-canspeak-1200x628,,,,,2026-07-12,2026-07-16,5.0,Testing,generic – na – valueprop,static_c2,0.0,0.0,,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5930733515568692,Pause,False,False
120248898263350167,288.0,122085,865,2,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!static_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!valueprop_c8!billboard-fromspeak-1200x628,,,,,2026-07-12,2026-07-17,6.0,Testing,generic – na – valueprop,static_c2,0.016382028914281033,0.0,,0.007085227505426547,0.0,4.0,1.59,160.6,16.0,8.0,2.0,4.0,2.0,0.521534689948807,Pause,False,False
120248898272860167,307.96,98979,1674,2,2,4.25,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!atiendai_c7!product_c8!speak-product,,,,,2026-07-12,2026-07-16,5.0,Testing,influencer – atiendai – product,na_c2,0.020206306388223766,0.020206306388223766,153.98,0.016912678446943292,0.0,2.0,0.8,81.4,16.0,5.0,3.0,0.0,2.0,1.4010743361856828,Mid-Tier,False,False
120248898277620167,284.55,111730,1417,6,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!image_c3!ugc_c4!painpoint _c5!ongoing_c6!jessica_c7!ba.lifestyle.walking_c8!dontletenglishholdyouback_v2_engiperson,,,,,2026-07-13,2026-07-14,2.0,Testing,ugc – jessica – ba.lifestyle.walking,ugc_c2,0.05370088606462006,0.0,,0.012682359258927772,0.0,2.0,0.82,83.1,18.0,4.0,2.0,2.0,0.0,1.0426349354088575,Pause,False,False
120248898277700167,258.67,122792,1071,5,1,2.11,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!image_c3!ugc_c4!painpoint _c5!ongoing_c6!jessica_c7!ba.lifestyle.walking_c8!dontletenglishholdyouback_v1_og,,,,,2026-07-13,2026-07-15,3.0,Testing,ugc – jessica – ba.lifestyle.walking,ugc_c2,0.0407192650987035,0.008143853019740698,258.67,0.008722066584142289,0.0,1.0,0.4,40.9,16.0,2.0,0.0,0.0,0.0,0.9178107242502233,Pause,False,False
120248898278030167,159.5,53424,672,0,0,0.0,1,1.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!ugc_c2!video_c3!ugc_c4!testimonial_c5!ongoing_c6!qing_c7!product_c8!doesaienglishlearningwork_3cut,,,,,2026-07-13,2026-07-15,3.0,Testing,ugc – qing – product,ugc_c2,0.0,0.0,,0.012578616352201259,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8674871009166114,Pause,False,False
120248898278710167,187.26,63868,1197,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!atiendai_c7!product_c8!vs-online-course,,,,,2026-07-13,2026-07-15,3.0,Testing,influencer – atiendai – product,na_c2,0.0,0.0,,0.01874177992108724,0.0,1.0,0.41,41.5,12.0,2.0,2.0,0.0,0.0,0.9612139553234051,Pause,False,False
120248898291360167,253.0,83208,1330,8,3,6.09,1,0.0,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!atiendai_c7!product_c8!og-video,,,,,2026-07-13,2026-07-22,6.0,Testing,influencer – atiendai – product,na_c2,0.09614460148062687,0.03605422555523507,84.33333333333333,0.015984039996154217,1.0,1.0,0.41,41.7,30.0,2.0,0.0,2.0,0.0,1.9993108417524093,Mid-Tier,False,False
120248964820460167,347.26,157589,581,16,3,5.07,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,c1!motion_c2!video_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!outcome_c8!3750sentences-1080x1920_scaling,,,,,2026-07-15,2026-07-22,8.0,Scaling,generic – na – outcome,motion_c2,0.10152992911941824,0.01903686170989092,115.75333333333333,0.0036868055511488744,0.0,8.0,3.13,317.1,60.0,14.0,14.0,0.0,0.0,5.212631929745832,Phase 1 Winner,True,False
